transliteration,translation
mašīru I,"(a wheeled vehicle) MA, M;"
akkullātu I,"tant. ""clods"" of field NB"
ababdû I,(a civil servant) OB;
šuttu I,"šunātu(m) ""dream"" [MÁŠ.GE6; also MA.MÚ] š. naṭālu, amāru etc. ""to have a dream, to dream""; š. pašāru ""to interpret d."" cf. mupašširum; good, bad, frightening etc.;"
tahapšuhuli I,"""felt-maker"" Alal.;"
apišalû I,(a crip) jB;
sahharru I,"NB sahharrānu (an offering bowl) M, NA [(DUG.)BUR.ZI.TUR] of stone, metal"
puṭūru II,"""release, ransom"" jB legap> ., NB;"
nappāṣu I,"""wooden beater, club"" jB legap> .; MA gap> Nappaṣāni;"
zumru I,"""body; person"" Bab. [SU] of human, god, animal etc.; OB st. abs. zumur(ma) ""in person""; transf. ""body"" of troops, ""interior"" of building, city, land; OB ina zumur ""within"" a timespan"
tību I,"""arousal, attack"" Bab. [ZI(.GA); Susa KUR] ""onslaught"" in battle; ""upri against state; ""attack"" of animal; ""onset"" of wind, storm; t. šēr(t)i ""dawn""; t. iltāni, šūti ""ce from which the north, south wind rises""; t. šaddû ""riof north-east wind"" (a feature of liver); ""appearance, occurrence"" of good, evil; ""jerk, twitch"" of part of body; ""projection"" on liver;"
ṣillîmahhu I,mng. unkn. Bogh.;
marmāhu I,(a type of priest)
pētû I,"'opener' O legap> . 1. ""door-opener, porter""2. (a wrestler)3. ""thresher"""
šitrāhu I,"""very proud, sndid"" M epith. of gods, kings;"
šarratūtu I,"""queenship"" Mari, Bogh., Ug. [MUNUS.LUGAL- ];"
KIŠIB da-dí-a DUMU ba-za-za KIŠIB i-di-a-bi4-im DUMU i-dí-sú-in KIŠIB IŠTAR-il5-šu DUMU a-zu-za-a KIŠIB a-šur-{d}UTU-ši DUMU ì-lí-tù-ra-am ⅔ ma-na 1 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er IŠTAR-il5-šu DUMU a-zu-za-a a-šur-DU10 DUMU e-lá-ma i-šu iš-tù ha-mu-uš-tim ša hu-ra-ṣa-nim ù a-šur-ma-lik li-mu-um a-lá-hu-um DUMU i-na-ah-DINGIR 1.5 GÍN.TA a-na 1 ma-na-im ṣí-ib-tám ú-ṣa-áb,"Seal of Dadiya, son of Bazaza; seal of Iddin-abum, ; seal of Aššur-šamsī, . ⅔ mina 5 shekels of refined silver Ištar-ilšu, son of Azuzaya, owes to Aššur-ṭāb, son of Elamma. From the week of hurāṣānum and Aššur-mālik, eponymy of Alī-ahum, son of Īnah-ilī, he will add 1.5 shekel per mina as interest."" """
qurû I,(a length of wood) jB
esēru I,"""confinement"" O in bīt e. ""cage""; I infin."
aṣṣ<gap> I,<gap> also = ana ṣgap>
šitnunu I,"""combative"" jB of deities; ""hard-fought"" victory;"
wašru I,"""submissive; humble, obedient"" Bab.;"
madārūtu I,(status of a madārum) Mari;
um-ma i-dí-sú-in-ma a-na en-nam-a-šùr qí-bi4-ma a-hi a-ta be-lí a-ta ší-im TÚG.HI.A KÙ.BABBAR 1 ma-na KI a-šùr-ta-ak-lá-ku ù IŠTAR- <gap> na-am-gu5-ra-ni TÚG.HI.A ku-nu-ki-kà ku-nu-uk-ma dí-i-šu-nu-tí a-hi a-ta KÙ.BABBAR u4-ma-am a-ni-a-am lá i-bi4-at šé-bi4-lam a-ta ha-ra-nam ta-dá-nam KÙ.BABBAR lá i-bi4-at a-šu-mì SÍG.HI.A u4-ma-am a be-et,"<gap> From Iddin-Suen to Ennam-Aššur: My dear brother and lord, we have agreed on the price for the tegap> tiles as 1 mina of silver with Aššur-taklāku and Ištar- gap> Seal the tegap> tiles with your own seal and give them to them. My dear brother, may the silver not lie idle even this day. Send it! It is you who will give me a journey. The silver must not wait. Concerning the wool I shall stay one day."
kâšunu I,"""you"" (2 m. pron.) M, NA dat., after ana; gen.; acc."
basi I,"~ ""soon"" NA as prep. ""soon after""; as adv. ""forthwith""; before vb., gen. of infin. ""so that, in order to"""
qaṣirtu I,(or kaṣirtu) mng. unkn. MB legap> .
ayyaru III,mng. uncl. jB; in comparisons
bisru I,"""leek"" jB"
kitturru I,"""toad, frog"" O legap> .; also ""(stone figure of) frog"""
šakku IV,(a vessel) Mari; jB legap> .
šummannu III,"""gift, present"" jB legap> ."
kamāmu I,"~ ""to nod the head"" jB G (a) Š stat., mng. uncl."
barīrātu I,"(a nt, phps.) ""sagapenum"" Bab. [GIŠ.LUM.HA];"
tamkarhu I,(a colour) Nuzi;
KIŠIB a-šur-ták-lá-ku DUMU i-ku-nim KIŠIB ki-nam-a-šùr DUMU ba-ba-lim KIŠIB a-šur-na-da DUMU ha-pu-a-lá ša hu-bu-ul a-šùr-na-da DUMU ha-pu-a-lá 10 GÍN KÙ.BABBAR SAHAR.BA i-ṣé-er a-šùr-na-da DAM.GÀR i-šu ITU.1.KAM hu-bu-ur li-mu-um ša qá-té a-bu-ša-lim DUMU ì-lí-a-lim a-na ITU.6.KAM i-ša-qal šu-ma lá iš-qúl 1.5 GÍN.TA KÙ.BABBAR i-na ITU.1.KAM-im ṣí-ib-tám a-na 1 ma-na-im ú-ṣa-áb wa-bi-il5 ṭup-pí-im šu-ut DAM.GÀR-ru-um a-ma-kam tù-ur-IŠTAR DUMU zu-ma- <gap> be-lá-a-wa-tim ša-i-il5-šu,"<gap> Seal of Assur-taklaku, son of Ikunum, seal of Kinam-Assur, son of Babalum, seal of Assur-nada, son of Happuala, of the debt of Assur-nada, son of Happuala. 10 shekels of 'dust silver' Assur-nada owes to the creditor. Month VI, eponymy of the successor of Abu-salim, son of Ili-alum. He will pay within 6 months, if he does not pay he will add 1.5 shekel of silver per month as interest per mina. The bearer of this tab let is the creditor. Over there Turi-Istar, son of Zuma- gap> , (is) the litigant, ask him."
šuhû II,"f. šuhītu adj. mng. unkn. Am. of bed, chariot"
šurīnu II,"mng. unkn. OAkk in qēm š. ""flour of š."""
maṣṣaru I,"""guard, watchman"" [(LÚ.)EN.NUN; (LÚ.)EN.NU(.UN)] in comb., e.g. Am. m. šarri ""king's guard""; m. abullim ""gatekeeper""; m. qišātim ""forest guard""; m. eqlim ""field guard""; of deities and divine images m. šulmi(m) u balāṭi(m) ""guardian of health and life""; m. ṭīdi 'guardian of clay' (= a worm);"
ahā'iš I,"""each other, one another"" Ass. as obj., NA a. ṣabātu ""to join forces""; ištu a. ""together""; urki a. ""one after the other""; ana a. ""one another, together"";"
berītu I,"""treaty"" Qatna;"
makû II,"""want, lack, need"" O; I infin."
sarrarû I,(or šarrarû) (a malformed reed) jB legap> .
ullāman I,"~ ""otherwise"" Mari;"
a-na ša-lim-a-šùr qí-bi-ma um-ma en-nam-a-šùr-ma i-na lu-qú-tí-kà ša a-na ṣé-ri-a ša ki-ma ku-a-tí ú-ta-e-ru-ni la-ma a-lu-wa a-na ṣé-ri-a ta-áš-pu-ra-ni AN.NA-kà ú ṣú-ba-tù-kà a-na URUDU ma-sí-im ú ší-ki-im iš-tù ITU.3.KAM ta-ú-ru-ma URUDU pá-ni-am-ma e-ma-ru a-na ša-lá-tù-ar i-za-bi-lu ú a-na-ku a-dí mu-ṣí-im pá-al-ha-ku-ma a-na qá-qí-dí-a ù na-pá-áš-tí lu-qú-tí-kà a-na bu-ru-uš-ha-dim e-ra-ba-am ú-lá a-mu-a a-dí a-ší-im ša pá-kà a-na mu-ṣí-im ta-dí-nu-ma a-ší-am lá tù-šé-bi4-la-ni-ma li-bi a-we-lam lá tù-na-e-hu a-ta la tí-de8-e ki-ma a-we-lam a-ba-am lá-am-nu-ma a-na a-bi-šu kà-ša-dí-im i-lu-ku KÙ.BABBAR 1 GÍN ša i-na ša-lá-tù-ar e-du-ku-ma e-pu-šu a-lu-wa na-áš-a-kum ša ší-tí lu-qú-tí-kà URUDU ší-kam ú URUDU ma-sí-am e-re-qá-tim a-sí-dí-ir-ma a-na DUMU um-me-a-nim ke-nim áp-nu-ma iš-tí e-re-qá-tí-šu-ma IGI a-lu-wa-ma iš-tù 10 u4-me-e i-ta-ṣa-ma KÙ.BABBAR ba-tí-iq ú-tù-ur i-,"To Šalim-Aššur from Ennam-Aššur: Of your goods that your representatives converted for me - even before you sent Aluwa to me, three months earlier, your tin and tegap> tiles had been converted to copper, washed and of -type, and donkeys carried the copper quickly to Šalatuwar. And as for me, I was afraid because of the and because of fear for my own head and the welfare of your goods I will not enter Burušhaddum. With regard to the iron that you promised to the without sending any iron and thereby not calming the man's heart - don't you know that the man is hostile towards the father and will go to catch his father Aluwa brings you every shekel of silver that I egap> hausted myself to make in Šalatuwar. For the rest of your goods, -copper and washed copper, I have outfitted wagons and turned to a trustworthy affiliated trader, who left with his wagons before Aluwa 10 days ago, and he will buy silver, cheap or dear, and I shall send you what silver he clears before Aluwa with travelers, so I can comte the proceeds of the goods I transported for you. I shall send you a final report. For the rest of your goods gap> in Kanesh gap> your representatives gap> that they sold, the silver gap> in the City gap> I shall clear the rest of your goods and then Ali-ahum will entrust your goods from Timelkiya in accordance with your orders, and I shall send Ali-ahum with the silver and send you a reassuring message about your goods and your outstanding loans."
pašallu I,"""(a kind of) gold"" OAkk, Bab., OA"
parāṣu II,"""to carry out ritual"" Alal., jB, NA G NA nēpešē p. ""perform rites"" D ~ G Alal., jB Dt pass. of D of rites ""be performed"" N ~ Dt"
ṭebû I,"""to sink, submerge"" G (u) [SUD] intrans. of boat, objects ""sink""; of persons, field, part of liver ""be submerged""; ""drown"" Gtn iter. of G D [SUD] trans. ""sink, submerge"" ship, person, field etc.; jB transf. of facial egap> pression ""be depressed""; OA ""suppress"" tablet, affair; M(Ass.) ""sink"" building into ground Dt pass. of G"
ṣilatalānu I,(a nt) jB legap> .
šâti I,"""(of) him; that, this"" Bab. (acc., gen.); ""that, this same"" (m. & f. acc., gen.)"
tullumu I,D mng. unkn. OB legap> .
namūtu I,"~ ""derision, mockery"" O, MA; n. epēšu(m) ""to deride, mock"", ēpiš n. ""scorner, mocker"""
šiāqu I,"mng. unkn. OB G (išīq, ištīq only)"
ašlaktu I,"""washerwoman"" OAkk (presumed rdg. of [MUNUS.LÚ.ÁZLAG]);"
šurmû I,"""image"" jB legap> ."
⅚ ma-na KÙ.BABBAR PUZUR4-a-šùr il5-qé ⅚ ma-na ki-ba-al il5-qé ½ ma-na 6 GÍN KÙ.BABBAR i-ku-pí-a il5-qé 7 GÍN KÙ.BABBAR {d}MAR.TU-ba-ni il5-qé 5 GÍN KÙ.BABBAR šu-ut-ma il5-qé 5 GÍN KÙ.BABBAR a-ni-na il5-qé,Puzur-Aššur received ⅚ minas of silver; Kibal received ⅚ mina of silver;
buppānī- I,"""face down, flat on the face"" O with pron. suff.; b.- ṣalālu/maqātu ""to lie prostrate on o.'s face""; of bowl ina b.-ša ""upside down"";"
numītu I,"~ ""pasturage"" NB"
kurgarrûtu I,"""function of the kurgarrû"" NB; as prebend;"
qāriru I,"mng. uncl. OB, Nuzi;"
rimṭu I,(an illness) NA
animû I,"~ ""kindness, peace"" jB legap> ."
duššû I,"""abundant, copious"" j(lit.) of water, offerings; of tavern, storeroom ""wellstocked"";"
mupparšu I,"""flying, winged"" OB, jB; of bird, Anzû; Mupparšu (name of Marduk's horse);"
mindinu I,"and sim. (a wild cat, phps.) ""tiger"" or ""cheetah"" O [UR.ŠUB5(=NÚMUN)]"
uzuntu I,"1. ~ ""ring"" or attachment on imments2. jB, NA [NÍG.GEŠTU] (part of the entrails)"
a-na a-lá-hi-im ú dam-qá-a qí-bi-ma um-ma ša-ta-na-ma a-na dam-qá-a qí-bi4-ma 2 ma-na KÙ.BABBAR ni-is-ha-sú DIRI ša-du-a-sú ša-bu-a-tí a-na ší-a-ma-tim a-na a-lim{ki} a-dí-na-kum um-ma a-na-ku-ma AN.NA ša-ma-am a-ma-kam AN.NA ší-im KÙ.BABBAR-pì-a a-na a-lá-hi-im dí-in a-na a-lá-hi-im qí-bi4-ma a-hi a-ta a-ma-kam dam-qá-a AN.NA li-dí-na-kum <gap> ⅔ ma-na 5 GÍN KÙ.BABBAR i li-bi4 a-na-na <gap> am-tám i-li ša ma <gap> me <gap> a am-tum a-dí-ni wa-áš-ba-at a-hi a-ta be-lí a-ta KÙ.BABBAR ša-áš-qí-il5-ší ú am-tám a-na ší-mì-im dí-in 6 pì-ri-kà-ni a-na ha-nu a-dí-in um-ma a-ta-ma ha-ra-nam iš-té-et ú ší-ta lu-kà-ší-id-ma a-na-ku KÙ.BABBAR-áp-ki a-da-na-ki-im a-hi a-ta AN.NA-ki lu KÙ.BABBAR ša li-bi4 a-na-na lu ší-im GÉME-tí-a lu ší-im pì-ri-kà-ni ša ha-nu pì-ri-kà-ni ša-ma-ma ú AN.NA-ki iš-tí pá-ni-im-ma šé-bi4-lam 2 TÚG.HI.A šé-bi4-lá-ma ù-ša-ri-iṭ-ma 1 GÍN KÙ.BABBAR <gap> hu-ur-ší-a-nam ù ta-ma,"<gap> To Ali-ahum and Damqaya from Šāt-Anna; specifically to Damqaya; I gave you 2 minas of silver, its import duty added, its transport tariff paid to you, for purchases in the City. I said: Buy tin for me."" Give the tin, the proceeds from my silver, to Ali-ahum there. To Ali-ahum: My dear brother, have Damqaya give you the tin there. gap> -⅔ mina 5 shekels of silver is in the possession of Anna-anna. gap> the slave girl gap> the slave girl is still living in gap> My dear brother and lord, have her pay the silver and offer the slave girl for sale. I gave 6 to Hanu. You said: ""Let him comte one or two journeys, then I shall personally give you your silver."" My dear brother, my tin as well as the silver in Anna-anna's possession, the proceeds from the slave girl and from the from hanu - sell the and then send me my tin with the first transport. Send me 2 tegap> tiles, for I tore (mine), and 1 shekel of silver gap> the -container and the tablet-bogap> they they entrusted to you gap> as long as you do not see my eyes. """
puhpuhu I,"""purslane"" jB, NA legap> ., med."
iutû I,(appeal to Šamaš) jB [I.dUTU];
ummânūtu I,"""craftsmanship, scholarship"" O, NA; ummênūtam quttû ""perfect in skill"", šipir u. ""a work of c.""; jB, NA ""(scribal) craft, learning"";"
ša-lim-a-šùr a-na me-er-e i-dí-a-bi4-im iṣ-ba-at-ni-a-tí-ma um-ma ša-lim-a-šùr-ma a-na ṭup-pì-im ša a-lim{ki} ša ra-bi4-ṣú-um ub-lá-ni ù ší-ma-tim mì-ma ta-tù-ra-nim ša 7 um-me-a-nu a-wa-tí-ni ig-mu-ru-ni um-ma me-er-ú i-dí-a-bi4-im-ma <gap> ša-lá-áš-tù-ma šu-nu a-na mì-ma šu-um-šu lá ni-tù-ra-kum um-ma šu-be-lúm-ma a-na lu-qú-tim ša É a-šùr-be-el-a-wa-tim a-na-ku a-šé-e-kà um-ma a-hu-šu-ma né-nu ú-lá ni-tù-ra-kum um-ma ša-lim-a-šùr-ma ša ni-iš a-lim{ki} ta-mu-ú lu ú-kà-al ki-ma a-na a-wa-tim ga-am-ra-tim i-tù-ru um-ma šu-be-lúm-ma zu <gap> a-he-e-a KÙ.BABBAR ù ṣí-ba-sú tù-ma-li um-ma ša-lim-a-šur-ma dí-ik-ma-am ù nu-ra-am ú-ma-li IGI PUZUR4.SA.TU IGI EN.LÍL-ba-ni IGI a-šùr-GAL a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ší-bu-tí-ni ni-dí-in,"<gap> Šalim-Aššur seized us in his case against the sons of Iddin-abum and Šalim-Aššur said: Do you contest the tablet from the City assembly that the attorney brought as well as the testament according to which 7 investors concluded our case"" Iddin-abum's sons answered, all three of them: ""We do not contest anything against you."" Šu-Bēlum said: ""I sue you for the goods from Aššur-bēl-awātim's house."" His brothers said ""As for us, we have no claims against you."" Šalim-Aššur said ""Keep in mind what has been sworn by an oath by the City, since he (now) raises claim in a concluded case!"" Šu-Bēlum answered: ""Have you paid in full gap> of my brothers, the silver and its interest"" Šalim-Aššur said: ""I have paid in ashes and light."" Witnessed by Puzur-šadu'e, by Illil-bāni, by Aššur-rabi. The Kanesh colony gave us for these proceedings and we have our testimony. """
nāmaru I,"1. OAkk, O, Qatna, Am., NA ""mirror""2. OAkk, MB (a garment)3. Ass., jB ""watch-tower""; jB bīt n."
15 ma-na KÙ.BABBAR ni-is-ha-sú DIRI ša-du-a-sú ša-bu kàr-wa-a a-na um-mì-a-ni-a ú-bi-il5 IGI a-ni-ni-im DUMU šu-hu-bur IGI a-šùr-iš-tí-kál DUMU a-šur-SIPA 15 GÍN KÙ.GI ni-is-ha-sú DIRI ša-du-a-sú ša-bu a-ṣé-er en-nam-a-šur a-šur-re-ṣí ú da-dí-a ⅔ ma-na KÙ.BABBAR ni-is-ha-sú DIRI ša-du-a-sú ša-bu a-na a-šur-ta-ak-lá-ku DUMU lu-ra-bi4-a-ku 5 GÍN KÙ.BABBAR a-na um-mì-iš-ha-ra šé-bu-ul-ta-ša 4 GÍN KÙ.BABBAR ša lá-ma-sà-tim a-na um-mì-iš-ha-ra 1 GÍN KÙ.BABBAR a-na bu-ṣú-a mì-ma a-nim a-šur-mu-ta-pì-il5 ú-bi-il5 4 GÍN KÙ.BABBAR a qá-tí-šu 3 GÍN KÙ.BABBAR sà-sí-a 3 GÍN KÙ.BABBAR lá-qé-pu-um DUMU i-tur4-DINGIR a-na um-mì-iš-ha-ra ub-lu <gap> -tí-am DUMU ku-na-a ú-bi-il5-ší-im 1 ma-na KÙ.BABBAR ni-is-ha-sú DIRI ša-du-a-sú ša-bu a-na um-mì-a-ni-a 6 ma-na KÙ.BABBAR ša-du-a-sú ša-bu a-na a-šur-i-mì-tí DUMU i-ku-a 17 ma-na 8 GÍN KÙ.BABBAR ša-du-a-sú ša-bu ša i-a-tí ú kur-ub-IŠTAR a-ṣé-er a-,"<gap> 15 minas of silver, its egap> cise added, his transport fee paid, Karwāya brought to my investors, witnessed by Anīnum, son of Šu-hubur, by Aššuriš-tikal, son of Aššur-rē'ī. 15 shekels of gold, its egap> cise added, his transport fee paid, to the address of Ennam-Aššur, Aššur-rēṣì and Dadiya. ⅔ mina of silver, its import tagap> added, his transport fee paid, for Aššur-taklāku, son of Lū-rabiāku. 5 shekels of silver for Ummī-Išhara, her consignment; 4 shekels of silver of Lamassatum for Ummī-Išhara; 1 shekel of silver for Buṣua - all this Aššur-mūtappil brought; 4 shekels of silver for his use, 3 shekels of silver Sāsiya (and) 3 shekels of silver La-qēpum, son of Itūr-ilī, brought to Ummī-Išhara; one gap> the son of Kunnaya brought for her. 1 mina of silver, its egap> cise added, his transport fee paid, for my investors; 6 minas of silver his transport fee paid, for Aššur-imittī, son of Ikua; 17 minas 8 shekels of silver, its transport fee paid, belonging to me and Kurub-Ištar to the address of Ali-ahum and Dadiya - all this Šalim-Aššur brought, in the presence of Šu-Kūbum, son of Azu, of Puzur-šadu'e. 17.5 minas of silver, its egap> cise added, his transport fee paid, belonging me and Kurub-Ištar, Aššur-nādā brought to Ali-ahum and Dadiya. 2 shekels of silver for Ummī-Išhara, in the presence of Iṣmid-ilī, of Šumi-abiya, son of Puzur-Aššur."
kimmagātu I,tant. (a kind of tegap> tile) MB
21 gu5-šu-ru GAL 23 tár-dí-ú-tum 6 le-ú GAL-tum 8 tár-dí-ú-tum,"21 large beams, 23 of smaller size; 6 large wooden boards, 8 of smaller size"
šutqu I,"(part of the intestines) O legap> ., egap> t."
kapāṣu II,"""to bend back, distort"" O G (i) of part of body, snake, horn of moon, part of liver D ""make squint"" eyes; stat. ""is bent"" N ""be bent up"" of parts of liver"
marru II,"""shovel, spade"" Bab. [(GIŠ.)MAR] also as symbol of Marduk and Nabû;"
mārītu I,"""(s.th.) from Mari"" Mari; jB legap> ."
imzidû I,(a kind of list) jB legap> .;
hamâtu I,"tant. ""help, assistance"" M ana h.- alāku ""to go to aid"" of s.o.;"
rimûtu I,"(kind of paralysis) M med., mag., r. rašû ""to get, suffer paralysis"";"
eklu I,"""dark"" Bab. of day, water; transf. jB of person ekil pānī ""with gloomy face""; f. ekiltu ""dark (times)""; f. eklētu ""dark ces"";"
huduššû I,"(or hudūšum) ~ ""marriage celebration"" Mari;"
mumannû I,"""flatterer"" OB legap> .;"
šer'u I,"f. ""furrow"" OAkk, Bab. [AB.SÍN]; š. šakānum, mahāṣu, petû ""to put in furrows""; eqel š. ""field with furrows""; as source of produce; OAkk(Nuzi) = 1 ell; OB(Susa), MB in MNs; part of the constellation Virgo"
šasnibi I,"(a vegetable) NA, NB"
šilihtu I,1. jB legap> . (a nt)2. NB (part of a canal) at Nippur; also in PlN
kēsû I,(a prof.) jB legap> .
mākaltu I,"mākalātu(m), OB also mākaltātum ""wooden dish"" O, M [(GIŠ.)DÍLIM.GAL];"
annaku I,"""tin; lead"" [AN.NA]; MA a. paṣiu 'white lead', i.e. ""tin"", a. abāru ""lead"""
ta-ah-sí-sà-tum ša tám-kà-ru-tim,Memoranda concerning customers.
buhhuru I,"""to heat"" jB D a liquid Dtn ""keep hot"""
zillahta I,(or ṣillahta) (a bowl) Am.;
dagāru I,N jB mng. uncl.
sikillu I,"M 1. (a nt) [Ú.SIKIL] as drug, called šam tēlilte ""purification nt""2. (a semiprecious stone) [NA4.SIKIL]"
šēru IV,(a kind of mat) jB legap> .; also OAkk šīrum
gizinakku I,"""offering ce for Sîn"" O;"
mupaqqirānu I,"""claimant"" NB;"
maqqītu I,"""libation; vessel for libation"" Bab. [BAL- ];"
45 na-ru-uq ŠE-am <gap> na-ru-uq ar-ša-tim a-ha-ma ša ša-da-aq-tí 45 na-ru-uq ŠE-am 5 na-ru-uq ar-ša-tum IGI ú-li-id ší-im-tám al-qé ki-ma ar-ša-tim ŠE-am al-qé,"<gap> 45 sacks of barley, gap> sacks of wheat, further, from last year 45 sacks of barley and 5 sacks of wheat."
nāramu I,"""blanket"" or ""cloak"" O;"
ṣindītu I,(a wooden ring on ugh) jB legap> .;
hā'irūtu I,"""status of consort"" jB;"
markutu I,(a wooden object) Mari
muqtablu I,"""fighter"" Bab.;"
su'ītu I,"""from land of Su"" OB epith. of Ištar"
ākiltu I,f. 'that eats' OB om. mng. uncl. of pest;
gugittu I,(a shout) jB legap> .
neṣbettu I,"""finger"" jB legap> .;"
hamšu II,"""snapped off"" jB of stalks etc.; of deformed foot;"
muššultu I,"""likeness, reca"";"
bēhiru I,"""recruiting officer"" NB, as family name;"
dallu I,"""small, stunted"" O, NA of humans, as gap>; OB of grain;"
edulnu I,(or edullānu ) (a functionary) NA legap> .
mašmašūtu I,"""conjuration; function, work of an incantation priest"" jB, NA [MAŠ.MAŠ- ] m. epēšu ""to perform an incantation""; of deity DN bēl m.-ti;"
pušikku I,"""carded wool"" Bab., OA [SÍK.GA.RÍG.AK.A]"
keppû I,"""skipping rope"" O; also as an attribute of Ištar;"
nesû II,"""to be distant; withdraw"" (from = acc., ina, eli) Bab., OA G (e) [BAD] 1. stat. ""is far from"" s.o.; transf. of deity's heart2. ""distance o.s. from, depart from""; esp. of demon, god ""abandon"" person, body (zumru); of fear, disease; absol. of person, demon etc.; of horse ""shy""; also = D ""remove""Gtn iter. of G D ""take away; remove"" earth, emotions; ""deport"" peo Š ""make s.o. or s.th. recede; drive away"" evil etc. ŠD ~ Š ""remove"" guilt N ""depart, leave"" [BAD] of god, disease etc."
aššurû I,"f. aššurītu(m) ""Assyrian"" Ass., M; in f.: 1. DN ""the Assyrian Ištar""2. jB legap> . ""ship from Aššur""3. OA as gap>"
kušīru I,"legap> . f. ""success, profit"" O, NA; st. abs. lā kušīr ""profitless"";"
-kunu I,"before -ni, NB after n or m also -gunu 1. ""your"" (2 m. gen. suff.)2. Ass. also ""(to) you"" (2 m. acc., dat. suff.)"
šūhu I,"""(small) cucumber"" jB legap> ."
rimītu I,"""residence, dwelling"" M(Ass.) for god, king;"
aqrabu I,"""scorpion"" jB legap> .;"
liriša I,(a prof.) OB(Elam)
nummuru I,"""very bright, brilliant"" NB as gap>;"
haštaru I,(part of nine apparel) Nuzi;
nitru I,"""nitre, sodium"" jB, NA"
samaru I,(an ornament) jB
ušgidû I,"~ (a narrow chamber) OB [É.UŠ.GÍD.DA] as storage chamber, hallway;"
dandannūtu I,"""all-powerfulness"" jB;"
15.3333 GÍN 15 ŠE KÙ.BABBAR i-ṣé-er kà-ar-ší-ni a-lá-hu-um i-šu iš-tù ha-mu-uš-tim ša kà-ší-im ITU.KAM be-el-té-kál-lim li-mu-um ša qá-tí a-šur-i-mì-tí <gap> a-na e-tí-šu i-ša-qal <gap> IGI wa-al-dí-lim IGI i-na-ar 6 GÍN KÙ.BABBAR i-ṣé-er kà-ar-ší-ni ù a-li-li <gap> IŠTAR-lá-ma-sí tí-šu iš-tù ha-mu-uš-tim ša a-šur-i-mì-tí ITU.KAM ša sà-ra-tim li-mu-um ša qá-té a-šur-i-mì-tí 3 GÍN KÙ.BABBAR ṣí-ba-sú ù 20 ak-li a-na ša-na-at ú-bu-lu-nim IGI wa-al-dí-lim IGI i-na-ar,"<gap> Karšini owes 15.3333 shekels 15 grains of silver to Ali-ahum. Reckoned from the week of the -official, month Bēlat-ekallim, in the eponymy after that of Aššur-imittī, he will pay at the earliest convenience. Witnessed by Waldi-ilum, by Inar. Karšini and Alili owe 6 shekels of silver to Ištar-lamassī. Reckoned from the week of Aššur-imittī, month Ša-sarrātim, in the eponymy after that of Aššur-imittī, they will bring 3 shekels of silver, its interest, s 20 loaves of bread within one year. Witnessed by Waldi-ilum, by Inar."
mēdehtu I,"~ ""spotted condition"" of gall bladder OB;"
pesû I,"~ ""to rejoice"" jB legap> . G"
tišîšu I,"""nine times"" OB and elsewhere wr. 9-šu;"
šarku I,"~ ""pus, suppuration"" Bab., NA [LUGUD];"
šakkanakkūtu I,"""governorship"" NA(roy. inscr.);"
turu'u I,(a cry) jB
zarriqūtu I,"~ ""iridescence"" j"
tattaru I,(a bronze object) M
šahmu I,mng. unkn. MA
šarrāqāniš I,"""like a thief"" jB;"
hubūnu I,"Am., Bogh. f. hubunnētu (a small vessel) O of 1-1 qû(m)"
nadal I,(or naṭal) (a garden nt) NB
mušannītu I,"mušennētu ""dam"" diverting water flow NB;"
a-na en-na-nim a-dí-da ù a-lá-hi-im qí-bi-ma um-ma be-lúm-ba-ni-ma i-na li-bi4 URUDU-i-a 1 GÚ URUDU a-na ša-lim-a-šur dí-na-ma ú ší-be šu-uk-na-šu-um ki-ma i-na wa-ah-šu-ša-na 1 GÚ URUDU-i ú-ta-ra-ni mì-šu ša áš-ta-na-me-ú-ma šu-ku-bu-um e-ta-wu-ku-nu um-ma šu-ut-ma u4-mu-a a-hu-ru iš-tù ITU.KAM té-i-na-tim li-mu-um a-šur-ma-lik a-na <gap> ha-am-ša-tim a-dí-šu-um u4-mu-šu 2 ITU.KAM e-tí-qú ṣa-áb-ta-šu-ma <gap> ½ ma-na KÙ.BABBAR ša-áš-qí-lá-šu šu-ma mì-ma i-qá-bi4 a-na <gap> ma-nu <gap> pá-na a-na-ku-ma <gap> ki-ma lá ga ma <gap> a-wa-tum a <gap> ša mì-ma a-ni- <gap> ší ù <gap> ša-áš-qú-lá <gap> ša ší <gap>,"<gap> To Ennānum, Adida, and Ali-ahum from Bēlum-bāni: Give 1 talent of my copper to Šalim-Aššur and set witnesses for him. Since he is to return my 1 talent of copper to me in Wahšušana, why is it that I keep hearing that Šu-Kūbum is arguing with you, saying: My terms are still running."" I gave it to him for gap> weeks from the month Teʾinātum, eponymy Aššur-malik. His terms are overdue by two months. Seize him and make him pay gap> ½ mina of silver. If he objects, gap> all this gap> make gap> pay gap> """
tanīdu I,"""(hymn of) praise"" O;"
ittû I,"""seed-funnel"" [GIŠ.NÍNDA] O on seeder-ugh;"
murammiktu I,"""washbasin"" OB;"
asâtu I,"""le doctor"" O [Mari MUNUS.A.ZU];"
na'lu I,(a disease) Bab.
kullānu I,(or qullānum) (a metal item) Mari
ṭišṭīšu I,(kind of sediment) MA
pitpabaga I,"""mess-mate"" NB, of king;"
